top - 20:06:30 up  4:17,  1 user,  load average: 1.45, 1.31, 1.33
Tasks: 463 total,   1 running, 462 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.8 us,  2.2 sy,  0.0 ni, 93.5 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31818.5 total,  17872.5 free,   9008.2 used,   6366.7 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  22810.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  79170 faezehg+  20   0 1394.4g 566528 152136 S  36.4   1.7  41:44.83 chrome
   6838 faezehg+  20   0 2409804 216184 127364 S  18.2   0.7   0:22.67 nautilus
 129461 faezehg+  20   0   20148   5376   3584 R   9.1   0.0   0:00.02 top
      1 root      20   0   23920  15152   9456 S   0.0   0.0   0:04.46 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root      20   0       0      0      0 I   0.0   0.0   0:05.27 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.93 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.85 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:18.77 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:02.52 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:02.40 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftir+
     25 root      20   0       0      0      0 I   0.0   0.0   0:01.73 kworker+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:01.28 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:01.22 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.14 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:02.30 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:02.16 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     53 root      rt   0       0      0      0 S   0.0   0.0   0:07.46 migrati+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftir+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:04.77 migrati+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     65 root      rt   0       0      0      0 S   0.0   0.0   0:03.38 migrati+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     71 root      rt   0       0      0      0 S   0.0   0.0   0:02.59 migrati+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     77 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.80 ksoftir+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     83 root      rt   0       0      0      0 S   0.0   0.0   0:00.57 migrati+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     89 root      rt   0       0      0      0 S   0.0   0.0   0:00.43 migrati+
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     95 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 migrati+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    101 root      rt   0       0      0      0 S   0.0   0.0   0:00.45 migrati+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
    106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    107 root      rt   0       0      0      0 S   0.0   0.0   0:00.43 migrati+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.04 khungta+
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.59 kcompac+
    120 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    121 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.09 irq/9-a+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    139 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.20 kworker+
    141 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    142 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    144 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    148 root      20   0       0      0      0 S   0.0   0.0   0:00.20 hwrng
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root      20   0       0      0      0 I   0.0   0.0   0:00.61 kworker+
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.24 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.40 kworker+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.42 kworker+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.62 kworker+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.90 kworker+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.52 kworker+
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
    267 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    268 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker+
    269 root       0 -20       0      0      0 I   0.0   0.0   0:00.49 kworker+
    270 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    271 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
    276 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    295 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    296 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    297 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    311 root     -51   0       0      0      0 S   0.0   0.0   0:34.11 irq/145+
    314 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    356 root      20   0       0      0      0 S   0.0   0.0   0:03.77 jbd2/nv+
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    408 root      19  -1   67308  22348  20612 S   0.0   0.1   0:01.74 systemd+
    436 root      20   0       0      0      0 I   0.0   0.0   0:01.03 kworker+
    498 root      20   0   30772   8968   5008 S   0.0   0.0   0:00.87 systemd+
    546 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    669 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    709 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    774 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    775 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    776 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    777 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_open+
    784 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    785 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    786 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    787 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    792 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    793 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    805 root     -51   0       0      0      0 S   0.0   0.0   0:00.55 irq/148+
    807 root      20   0       0      0      0 S   0.0   0.0   0:00.52 nv_queue
    903 systemd+  20   0   17556   7572   6668 S   0.0   0.0   0:04.65 systemd+
    921 systemd+  20   0   21980  13712  10980 S   0.0   0.0   0:01.29 systemd+
    946 systemd+  20   0   91044   7860   6884 S   0.0   0.0   0:00.11 systemd+
    968 root     -51   0       0      0      0 S   0.0   0.0   0:58.33 irq/149+
   1018 root      20   0  320304   9640   7256 S   0.0   0.0   0:00.59 account+
   1019 root      20   0    2720   1812   1664 S   0.0   0.0   0:00.83 acpid
   1021 avahi     20   0    8936   4820   4068 S   0.0   0.0   0:01.09 avahi-d+
   1022 root      20   0   13652   6772   6080 S   0.0   0.0   0:00.05 bluetoo+
   1023 root      20   0   15064   3156   2904 S   0.0   0.0   0:00.02 cron
